Modified By,Project Code,Financial Year,Quarter,Week 1 Ending 5/9/2025,Week 2 Ending 5/16/2025,Week 3 Ending 5/23/2025,Week 4 Ending 5/30/2025,Week 5 Ending 6/6/2025,Week 6 Ending 6/13/2025,Week 7 Ending 6/20/2025,Week 8 Ending 6/27/2025,Week 9 Ending 7/4/2025,Week 10 Ending 7/11/2025,Week 11 Ending 7/18/2025,Week 12 Ending 7/25/2025,Week 13 Ending 8/1/2025,Total Hours,Utilization %
Omar Hassan,Shepherd PLC_PR-4518179,2026,Q2,15,15,15,15,12,12,20,15,15,15,15,15,15,194,37.30%
Youssef Ali,Brooks and Sons_PR-7436386,2026,Q2,10,5,0,5,10,10,10,5,5,5,5,10,10,90,17.30%
Youssef Ali,"Walker, Jenkins and Ruiz_PR-6982819",2026,Q2,10,20,10,10,10,15,10,5,10,5,5,10,10,130,25.00%
Laila Samir,"Oliver, Haney and Fernandez_PR-3872861",2026,Q2,32,40,40,32,32,32,32,32,34,40,8,32,16,402,77.30%
Laila Samir,Davenport-Rangel_PR-8183453,2026,Q2,8,,,8,8,8,8,8,6,,32,0,,86,16.50%
Ahmed Nabil,"Murphy, Terry and Burton_PR-2296820",2026,Q2,40,,20,,,,,,,,,,,60,11.50%
Khaled Mostafa,Shepherd PLC_PR-4518179,2026,Q2,40,40,32,24,24,8,,,,40,40,40,40,328,63.10%
Ahmed Nabil,Norton-Smith_PR-7235854,2026,Q2,,40,20,20,16,12,22,20,16,20,20,20,20,246,47.30%
Khaled Mostafa,White Inc_PR-9958516,2026,Q2,,,12,16,24,32,40,40,40,,,,,204,39.20%
Khaled Mostafa,Davenport-Rangel_PR-8183453,2026,Q2,,,,,,,,,,,,,,0,0.00%
Ahmed Nabil,Gilmore PLC_PR-4121575,2026,Q2,,,,,,,,,,,,,40,40,7.70%
Mahmoud Tarek,Russell and Sons_PR-6209850,2026,Q2,20,32,32,32,48,16,40,32,32,20,20,20,16,360,69.20%
Mahmoud Tarek,"Walker, Jenkins and Ruiz_PR-6982819",2026,Q2,40,18,40,40,12,2,24,24,24,,40,40,40,344,66.20%
Mahmoud Tarek,Ross-Johnson_PR-7155233,2026,Q2,,,,,,,0,,0,40,0,,0,40,7.70%
Hassan Fathy,"Short, Mercer and Gonzales_PR-3570081",2026,Q2,,40,40,,,16,,,,,,20,,116,22.30%
Bassem Adel,Thomas and Sons_PR-2947978,2026,Q2,20,32,32,32,15,20,32,20,24,7.5,7.5,7.5,7.5,257,49.40%
Karim Saad,"Murphy, Terry and Burton_PR-2296820",2026,Q2,6,,,,,,,,,,,,,6,1.20%
Karim Saad,"Diaz, Savage and Daniels_PR-3298980",2026,Q2,14,18,48,50,32,,40,40,40,40,,,,322,61.90%
Salma Farid,"Olson, Cooper and Moore_PR-6546782",2026,Q2,24,0,24,24,24,24,24,24,24,24,24,24,24,288,55.40%
Salma Farid,Davenport-Rangel_PR-8183453,2026,Q2,16,40,16,16,16,16,16,16,16,16,16,16,16,232,44.60%
Tamer Reda,Perry Inc_PR-3708954,2026,Q2,24,6,6,6,14,14,,18,18,4,4,4,4,122,23.50%
Tamer Reda,"Simmons, Myers and Robles_PR-7619330",2026,Q2,2,2,2,2,3,3,14,3,3,0,1,1,1,37,7.10%
Tamer Reda,Wilson Group_PR-5878320,2026,Q2,20,0,0,0,0,0,0,0,0,0,0,0,0,20,3.80%
Tamer Reda,Cole Ltd_PR-2271853,2026,Q2,9,6,6,6,7,7,7,7,7,1,1,1,1,66,12.70%
Tamer Reda,Valdez-Brown_PR-6080456,2026,Q2,7,4,1,0,0,0,0,0,0,0,0,0,0,12,2.30%
Tamer Reda,Payne LLC_PR-6486761,2026,Q2,3,7,7,7,4,4,2,0,0,1,0,1,1,37,7.10%
Tamer Reda,Brown-Mendoza_PR-6814265,2026,Q2,2,2,2,2,1,1,,0,1,0,1,,,12,2.30%
Mostafa Sherif,Lara-Norris_PR-3804149,2026,Q2,40,10,39,39,39,22,38,30,31,39,39,39,39,444,85.40%
Mostafa Sherif,Davenport-Rangel_PR-8183453,2026,Q2,,27,,,,16,,8,8,,,,,59,11.30%
Rami Zaki,"Haney, Hill and Bruce_PR-6971731",2026,Q2,40,40,40,40,40,40,40,40,40,40,40,40,40,520,100.00%
Rami Zaki,Brooks and Sons_PR-7436386,2026,Q2,32,32,32,32,32,32,32,32,32,32,32,32,32,416,80.00%
Rami Zaki,Raymond-Erickson_PR-1372211,2026,Q2,40,40,40,40,40,,,,,,,,,200,38.50%
Ayman Ezzat,"Walton, Barker and Austin_PR-2663713",2026,Q2,24,24,24,,,,,,,,,,,72,13.80%
Walid Gamal,Murphy and Sons_PR-5388328,2026,Q2,25,25,25,25,25,16,25,25,31,25,25,25,25,322,61.90%
Fady Hany,Berry-Sharp_PR-4014306,2026,Q2,40,40,40,40,40,24,40,40,40,0,40,40,40,464,89.20%
Mina Youssef,Young-Bryant_PR-8204078,2026,Q2,20,20,20,20,20,20,20,20,20,20,20,20,20,260,50.00%
Mina Youssef,Roth-Miller_PR-7504553,2026,Q2,32,32,32,32,30,30,30,30,,,,,,248,47.70%
Walid Gamal,Salinas-Sims_PR-5620529,2026,Q2,20,20,20,20,,,,,,,,,,80,15.40%
Walid Gamal,Roth-Miller_PR-7504553,2026,Q2,,,,,20,16,20,24,,,,,,80,15.40%
Walid Gamal,"Santos, Smith and Watson_PR-4065569",2026,Q2,,,,,,,,12,20,20,40,40,40,172,33.10%
Walid Gamal,Davenport-Rangel_PR-8183453,2026,Q2,,,,,,,,,,,,,,0,0.00%
Hossam Magdy,Williamson PLC_PR-6270332,2026,Q2,40,40,40,40,24,32,40,24,0,0,0,0,0,280,53.80%
Ayman Ezzat,Berry-Sharp_PR-4014306,2026,Q2,,,,,,8,14,16,8,8,8,8,8,78,15.00%
Ayman Ezzat,Willis and Sons_PR-4269323,2026,Q2,,,,24,24,,,,,,,,,48,9.20%
Ayman Ezzat,Davenport-Rangel_PR-8183453,2026,Q2,16,16,16,16,,12,16,16,4,4,,,,116,22.30%
Ayman Ezzat,"Walker, Jenkins and Ruiz_PR-6982819",2026,Q2,,,,,,4,10,8,8,8,20,20,12,90,17.30%
Sherif Fathy,Shepherd PLC_PR-4518179,2026,Q2,8,8,8,0,0,24,0,0,0,40,40,32,40,200,38.50%
Karim Saad,Raymond-Erickson_PR-1372211,2026,Q2,34.5,20.5,8,,,,,,,,,,,63,12.10%
Sherif Fathy,"Diaz, Savage and Daniels_PR-3298980",2026,Q2,8,8,8,12,40,0,60,0,0,0,0,0,0,136,26.20%
Sherif Fathy,"Bell, Mcclain and Robles_PR-7757751",2026,Q2,32,32,32,40,0,0,0,0,0,0,0,0,0,136,26.20%
Nader Fawzy,Stanton Ltd_PR-2510626,2026,Q2,40,40,20,32,32,12,20,20,20,0,20,20,20,296,56.90%
Nader Fawzy,Berry-Sharp_PR-4014306,2026,Q2,20,20,40,28,16,12,20,20,20,0,20,20,20,256,49.20%
Nader Fawzy,Davenport-Rangel_PR-8183453,2026,Q2,,,,,,,,,,,,,,0,0.00%
Yassin Adel,Mcmahon-Shepard_PR-5929862,2026,Q2,24,32,40,40,24,24,32,24,16,8,,,,264,50.80%
Rania Badr,Mcmahon-Shepard_PR-5929862,2026,Q2,24,32,40,32,32,24,40,24,22,8,20,20,20,338,65.00%
Yassin Adel,Davenport-Rangel_PR-8183453,2026,Q2,16,8,,,16,16,8,8,8,16,,,,96,18.50%
Rania Badr,Davenport-Rangel_PR-8183453,2026,Q2,16,8,,8,8,16,0,8,6,8,,,,78,15.00%
Yassin Adel,Bryant Group_PR-3128216,2026,Q2,,,,,,,,,0,,40,40,40,120,23.10%
Sami Helmy,Davenport-Rangel_PR-8183453,2026,Q2,,,,,,,,,,,,,,0,0.00%
Sami Helmy,Simmons-Kent_PR-3446385,2026,Q2,0,0,0,0,0,0,0,30,30,30,30,30,30,180,34.60%
Sami Helmy,Cox Group_PR-4764671,2026,Q2,0,8,3,0,0,0,0,0,0,,0,0,0,11,2.10%
Sami Helmy,"Cardenas, Garcia and Ross_PR-6743208",2026,Q2,0,6,0,0,0,0,0,0,0,,0,0,0,6,1.20%
Yara Mostafa,"Oconnor, Martin and Martin_PR-2959220",2026,Q2,16,40,40,40,32,40,32,40,40,0,40,40,40,440,84.60%
Hazem Lotfy,Murphy and Sons_PR-5388328,2026,Q2,40,40,40,40,32,8,54,50,38,40,20,20,20,442,85.00%
Hazem Lotfy,Davenport-Rangel_PR-8183453,2026,Q2,,,,,,,,,,,,,,0,0.00%
Sara Gamil,Davenport-Rangel_PR-8183453,2026,Q2,40,40,40,40,40,40,40,40,40,40,40,40,40,520,100.00%
Hazem Lotfy,"Walker, Jenkins and Ruiz_PR-6982819",2026,Q2,,,,,,,,0,20,10,20,20,20,90,17.30%
Mostafa Sherif,"Conway, Reyes and Heath_PR-4181063",2026,Q2,,3,1,1,1,2,2,2,1,1,1,1,1,17,3.30%
Yara Mostafa,Gutierrez-Shelton_PR-8848942,2026,Q2,,16,14,18,7,15,8,0,0,0,4,4,8,94,18.10%
Yara Mostafa,Davenport-Rangel_PR-8183453,2026,Q2,,,,,,,,,,,,,,0,0.00%
Mona Khaled,Shepherd PLC_PR-4518179,2026,Q2,40,18,29,18,32,16,25,24,29,40,40,40,40,391,75.20%
Nour Magdy,"Oconnor, Martin and Martin_PR-2959220",2026,Q2,40,40,32,32,40,40,32,32,40,40,40,40,40,488,93.80%
Nour Magdy,"Lester, Lyons and Torres_PR-8908371",2026,Q2,10,10,10,10,9,12,8,8,8,10,10,10,10,125,24.00%
Nour Magdy,"Short, Mercer and Gonzales_PR-3570081",2026,Q2,,,,,,,,,2,,,,,2,0.40%
Hesham Eid,Shepherd PLC_PR-4518179,2026,Q2,40,40,40,32,16,16,32,16,40,16,16,16,32,352,67.70%
Alaa Samy,Shepherd PLC_PR-4518179,2026,Q2,40,40,40,40,32,24,40,24,8,32,32,32,32,416,80.00%
Mona Khaled,Davenport-Rangel_PR-8183453,2026,Q2,,,,,,,,,,,,,,0,0.00%
Ola Sayed,"Cardenas, Garcia and Ross_PR-6743208",2026,Q2,0,6,20,0,0,0,0,0,0,0,0,0,0,26,5.00%
Ola Sayed,Cox Group_PR-4764671,2026,Q2,0,4,0,2,0,0,0,0,0,0,0,0,0,6,1.20%
Hesham Eid,Gilmore PLC_PR-4121575,2026,Q2,,,,,,,,,,16,16,16,8,56,10.80%
Tarek Galal,Jackson-Delgado_PR-3028371,2026,Q2,5,10,20,20,8,6,2,8,,,,,,79,15.20%
Tarek Galal,Raymond-Erickson_PR-1372211,2026,Q2,30.5,17.5,12,,,,,,,,,,,60,11.50%
Tarek Galal,Gordon-Todd_PR-1897885,2026,Q2,20,25,20,20,8,12,18,16,8,16,20,20,20,223,42.90%
Tarek Galal,Cochran-Lucas_PR-5958549,2026,Q2,,,2,10,8,,7,2,0,0,10,10,10,59,11.30%
Hany Fekry,Shepherd PLC_PR-4518179,2026,Q2,0,2,1,1,2,1,1,1,1,1,1,1,1,14,2.70%
Ola Sayed,Stanley Group_PR-2346426,2026,Q2,0,20,0,8,8,0,0,0,0,0,0,0,0,36,6.90%
Ola Sayed,Schmidt Ltd_PR-1813144,2026,Q2,0,0,0,0,20,20,28,40,40,0,0,0,0,148,28.50%
Hany Fekry,Young-Bryant_PR-8204078,2026,Q2,40,38,39,40,40,40,40,40,40,40,40,40,40,517,99.40%
Hany Fekry,Davenport-Rangel_PR-8183453,2026,Q2,,,,,,,,,,,,,,0,0.00%
Tarek Galal,"Reyes, Guzman and Holt_PR-7114560",2026,Q2,,,2,,8,6,7,4,32,24,10,10,10,113,21.70%
Tarek Galal,Henderson LLC_PR-6709776,2026,Q2,,,,,,,20,10,,,,,,30,5.80%
Yousef Gabr,Raymond-Erickson_PR-1372211,2026,Q2,24,32,40,40,25,,,,,,,,,161,31.00%
